STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,trans1g,Transitions from previous generation,isced11,International Standard Classification of Education (ISCED 2011),sex,Sex,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:ILC_IGTP01(1.0),Transition of educational attainment level from parents to current adults (population aged 25 - 59),A,Annual,PC,Percentage,FED0-2,"From pre-primary, primary and lower secondary education (levels 0-2) of the parents",ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",T,Total,DE,Germany,2023,,,,u,low reliability,,
dataflow,ESTAT:ILC_IGTP01(1.0),Transition of educational attainment level from parents to current adults (population aged 25 - 59),A,Annual,PC,Percentage,FED0-2,"From pre-primary, primary and lower secondary education (levels 0-2) of the parents",ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",T,Total,DK,Denmark,2019,,41.0,,,,,
dataflow,ESTAT:ILC_IGTP01(1.0),Transition of educational attainment level from parents to current adults (population aged 25 - 59),A,Annual,PC,Percentage,FED0-2,"From pre-primary, primary and lower secondary education (levels 0-2) of the parents",ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",T,Total,DK,Denmark,2023,,39.0,,,,,
dataflow,ESTAT:ILC_IGTP01(1.0),Transition of educational attainment level from parents to current adults (population aged 25 - 59),A,Annual,PC,Percentage,FED0-2,"From pre-primary, primary and lower secondary education (levels 0-2) of the parents",ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",T,Total,EA,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2019,,86.1,,e,estimated,,
dataflow,ESTAT:ILC_IGTP01(1.0),Transition of educational attainment level from parents to current adults (population aged 25 - 59),A,Annual,PC,Percentage,FED0-2,"From pre-primary, primary and lower secondary education (levels 0-2) of the parents",ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",T,Total,EA18,Euro area - 18 countries (2014),2019,,86.2,,,,,
dataflow,ESTAT:ILC_IGTP01(1.0),Transition of educational attainment level from parents to current adults (population aged 25 - 59),A,Annual,PC,Percentage,FED0-2,"From pre-primary, primary and lower secondary education (levels 0-2) of the parents",ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",T,Total,EA19,Euro area - 19 countries  (2015-2022),2019,,86.1,,,,,
dataflow,ESTAT:ILC_IGTP01(1.0),Transition of educational attainment level from parents to current adults (population aged 25 - 59),A,Annual,PC,Percentage,FED0-2,"From pre-primary, primary and lower secondary education (levels 0-2) of the parents",ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",T,Total,EA20,Euro area – 20 countries (from 2023),2019,,83.7,,,,,
dataflow,ESTAT:ILC_IGTP01(1.0),Transition of educational attainment level from parents to current adults (population aged 25 - 59),A,Annual,PC,Percentage,FED0-2,"From pre-primary, primary and lower secondary education (levels 0-2) of the parents",ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",T,Total,EA20,Euro area – 20 countries (from 2023),2023,,83.4,,e,estimated,,
dataflow,ESTAT:ILC_IGTP01(1.0),Transition of educational attainment level from parents to current adults (population aged 25 - 59),A,Annual,PC,Percentage,FED0-2,"From pre-primary, primary and lower secondary education (levels 0-2) of the parents",ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",T,Total,EE,Estonia,2019,,34.7,,,,,
dataflow,ESTAT:ILC_IGTP01(1.0),Transition of educational attainment level from parents to current adults (population aged 25 - 59),A,Annual,PC,Percentage,FED0-2,"From pre-primary, primary and lower secondary education (levels 0-2) of the parents",ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",T,Total,EE,Estonia,2023,,25.7,,,,,
dataflow,ESTAT:ILC_IGTP01(1.0),Transition of educational attainment level from parents to current adults (population aged 25 - 59),A,Annual,PC,Percentage,FED0-2,"From pre-primary, primary and lower secondary education (levels 0-2) of the parents",ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",T,Total,EL,Greece,2019,,90.1,,,,,
dataflow,ESTAT:ILC_IGTP01(1.0),Transition of educational attainment level from parents to current adults (population aged 25 - 59),A,Annual,PC,Percentage,FED0-2,"From pre-primary, primary and lower secondary education (levels 0-2) of the parents",ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",T,Total,EL,Greece,2023,,83.5,,,,,
dataflow,ESTAT:ILC_IGTP01(1.0),Transition of educational attainment level from parents to current adults (population aged 25 - 59),A,Annual,PC,Percentage,FED0-2,"From pre-primary, primary and lower secondary education (levels 0-2) of the parents",ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",T,Total,ES,Spain,2019,,92.5,,,,,
dataflow,ESTAT:ILC_IGTP01(1.0),Transition of educational attainment level from parents to current adults (population aged 25 - 59),A,Annual,PC,Percentage,FED0-2,"From pre-primary, primary and lower secondary education (levels 0-2) of the parents",ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",T,Total,ES,Spain,2023,,89.0,,,,,
dataflow,ESTAT:ILC_IGTP01(1.0),Transition of educational attainment level from parents to current adults (population aged 25 - 59),A,Annual,PC,Percentage,FED0-2,"From pre-primary, primary and lower secondary education (levels 0-2) of the parents",ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",T,Total,EU,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2019,,83.1,,,,,
dataflow,ESTAT:ILC_IGTP01(1.0),Transition of educational attainment level from parents to current adults (population aged 25 - 59),A,Annual,PC,Percentage,FED0-2,"From pre-primary, primary and lower secondary education (levels 0-2) of the parents",ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",T,Total,EU27_2007,European Union - 27 countries (2007-2013),2019,,83.1,,e,estimated,,
dataflow,ESTAT:ILC_IGTP01(1.0),Transition of educational attainment level from parents to current adults (population aged 25 - 59),A,Annual,PC,Percentage,FED0-2,"From pre-primary, primary and lower secondary education (levels 0-2) of the parents",ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",T,Total,EU27_2020,European Union - 27 countries (from 2020),2019,,81.1,,,,,
dataflow,ESTAT:ILC_IGTP01(1.0),Transition of educational attainment level from parents to current adults (population aged 25 - 59),A,Annual,PC,Percentage,FED0-2,"From pre-primary, primary and lower secondary education (levels 0-2) of the parents",ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",T,Total,EU27_2020,European Union - 27 countries (from 2020),2023,,80.6,,e,estimated,,
dataflow,ESTAT:ILC_IGTP01(1.0),Transition of educational attainment level from parents to current adults (population aged 25 - 59),A,Annual,PC,Percentage,FED0-2,"From pre-primary, primary and lower secondary education (levels 0-2) of the parents",ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",T,Total,FI,Finland,2019,,45.1,,,,,
dataflow,ESTAT:ILC_IGTP01(1.0),Transition of educational attainment level from parents to current adults (population aged 25 - 59),A,Annual,PC,Percentage,FED0-2,"From pre-primary, primary and lower secondary education (levels 0-2) of the parents",ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",T,Total,FI,Finland,2023,,46.8,,,,,
dataflow,ESTAT:ILC_IGTP01(1.0),Transition of educational attainment level from parents to current adults (population aged 25 - 59),A,Annual,PC,Percentage,FED0-2,"From pre-primary, primary and lower secondary education (levels 0-2) of the parents",ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",T,Total,FR,France,2019,,85.0,,,,,
dataflow,ESTAT:ILC_IGTP01(1.0),Transition of educational attainment level from parents to current adults (population aged 25 - 59),A,Annual,PC,Percentage,FED0-2,"From pre-primary, primary and lower secondary education (levels 0-2) of the parents",ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",T,Total,FR,France,2023,,72.2,,,,,
dataflow,ESTAT:ILC_IGTP01(1.0),Transition of educational attainment level from parents to current adults (population aged 25 - 59),A,Annual,PC,Percentage,FED0-2,"From pre-primary, primary and lower secondary education (levels 0-2) of the parents",ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",T,Total,HR,Croatia,2019,,82.2,,,,,
dataflow,ESTAT:ILC_IGTP01(1.0),Transition of educational attainment level from parents to current adults (population aged 25 - 59),A,Annual,PC,Percentage,FED0-2,"From pre-primary, primary and lower secondary education (levels 0-2) of the parents",ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",T,Total,HR,Croatia,2023,,80.2,,,,,
dataflow,ESTAT:ILC_IGTP01(1.0),Transition of educational attainment level from parents to current adults (population aged 25 - 59),A,Annual,PC,Percentage,FED0-2,"From pre-primary, primary and lower secondary education (levels 0-2) of the parents",ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",T,Total,HU,Hungary,2019,,78.8,,,,,
dataflow,ESTAT:ILC_IGTP01(1.0),Transition of educational attainment level from parents to current adults (population aged 25 - 59),A,Annual,PC,Percentage,FED0-2,"From pre-primary, primary and lower secondary education (levels 0-2) of the parents",ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",T,Total,HU,Hungary,2023,,75.7,,,,,
dataflow,ESTAT:ILC_IGTP01(1.0),Transition of educational attainment level from parents to current adults (population aged 25 - 59),A,Annual,PC,Percentage,FED0-2,"From pre-primary, primary and lower secondary education (levels 0-2) of the parents",ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",T,Total,IE,Ireland,2019,,69.1,,,,,
dataflow,ESTAT:ILC_IGTP01(1.0),Transition of educational attainment level from parents to current adults (population aged 25 - 59),A,Annual,PC,Percentage,FED0-2,"From pre-primary, primary and lower secondary education (levels 0-2) of the parents",ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",T,Total,IE,Ireland,2023,,62.2,,,,,
dataflow,ESTAT:ILC_IGTP01(1.0),Transition of educational attainment level from parents to current adults (population aged 25 - 59),A,Annual,PC,Percentage,FED0-2,"From pre-primary, primary and lower secondary education (levels 0-2) of the parents",ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",T,Total,IS,Iceland,2019,,46.0,,,,,
dataflow,ESTAT:ILC_IGTP01(1.0),Transition of educational attainment level from parents to current adults (population aged 25 - 59),A,Annual,PC,Percentage,FED0-2,"From pre-primary, primary and lower secondary education (levels 0-2) of the parents",ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",T,Total,IT,Italy,2019,,90.6,,,,,
dataflow,ESTAT:ILC_IGTP01(1.0),Transition of educational attainment level from parents to current adults (population aged 25 - 59),A,Annual,PC,Percentage,FED0-2,"From pre-primary, primary and lower secondary education (levels 0-2) of the parents",ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",T,Total,IT,Italy,2023,,89.7,,,,,
dataflow,ESTAT:ILC_IGTP01(1.0),Transition of educational attainment level from parents to current adults (population aged 25 - 59),A,Annual,PC,Percentage,FED0-2,"From pre-primary, primary and lower secondary education (levels 0-2) of the parents",ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",T,Total,LT,Lithuania,2019,,51.9,,,,,
dataflow,ESTAT:ILC_IGTP01(1.0),Transition of educational attainment level from parents to current adults (population aged 25 - 59),A,Annual,PC,Percentage,FED0-2,"From pre-primary, primary and lower secondary education (levels 0-2) of the parents",ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",T,Total,LT,Lithuania,2023,,45.3,,,,,
dataflow,ESTAT:ILC_IGTP01(1.0),Transition of educational attainment level from parents to current adults (population aged 25 - 59),A,Annual,PC,Percentage,FED0-2,"From pre-primary, primary and lower secondary education (levels 0-2) of the parents",ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",T,Total,LU,Luxembourg,2019,,81.5,,,,,
dataflow,ESTAT:ILC_IGTP01(1.0),Transition of educational attainment level from parents to current adults (population aged 25 - 59),A,Annual,PC,Percentage,FED0-2,"From pre-primary, primary and lower secondary education (levels 0-2) of the parents",ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",T,Total,LU,Luxembourg,2023,,81.2,,,,,
dataflow,ESTAT:ILC_IGTP01(1.0),Transition of educational attainment level from parents to current adults (population aged 25 - 59),A,Annual,PC,Percentage,FED0-2,"From pre-primary, primary and lower secondary education (levels 0-2) of the parents",ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",T,Total,LV,Latvia,2019,,40.7,,,,,
dataflow,ESTAT:ILC_IGTP01(1.0),Transition of educational attainment level from parents to current adults (population aged 25 - 59),A,Annual,PC,Percentage,FED0-2,"From pre-primary, primary and lower secondary education (levels 0-2) of the parents",ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",T,Total,LV,Latvia,2023,,40.3,,,,,
dataflow,ESTAT:ILC_IGTP01(1.0),Transition of educational attainment level from parents to current adults (population aged 25 - 59),A,Annual,PC,Percentage,FED0-2,"From pre-primary, primary and lower secondary education (levels 0-2) of the parents",ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",T,Total,ME,Montenegro,2019,,79.5,,,,,
dataflow,ESTAT:ILC_IGTP01(1.0),Transition of educational attainment level from parents to current adults (population aged 25 - 59),A,Annual,PC,Percentage,FED0-2,"From pre-primary, primary and lower secondary education (levels 0-2) of the parents",ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",T,Total,MK,North Macedonia,2019,,93.2,,,,,
dataflow,ESTAT:ILC_IGTP01(1.0),Transition of educational attainment level from parents to current adults (population aged 25 - 59),A,Annual,PC,Percentage,FED0-2,"From pre-primary, primary and lower secondary education (levels 0-2) of the parents",ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",T,Total,MK,North Macedonia,2023,,97.8,,,,,
dataflow,ESTAT:ILC_IGTP01(1.0),Transition of educational attainment level from parents to current adults (population aged 25 - 59),A,Annual,PC,Percentage,FED0-2,"From pre-primary, primary and lower secondary education (levels 0-2) of the parents",ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",T,Total,MT,Malta,2019,,47.3,,,,,
dataflow,ESTAT:ILC_IGTP01(1.0),Transition of educational attainment level from parents to current adults (population aged 25 - 59),A,Annual,PC,Percentage,FED0-2,"From pre-primary, primary and lower secondary education (levels 0-2) of the parents",ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",T,Total,MT,Malta,2023,,65.1,,,,,
dataflow,ESTAT:ILC_IGTP01(1.0),Transition of educational attainment level from parents to current adults (population aged 25 - 59),A,Annual,PC,Percentage,FED0-2,"From pre-primary, primary and lower secondary education (levels 0-2) of the parents",ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",T,Total,NL,Netherlands,2019,,73.6,,,,,
dataflow,ESTAT:ILC_IGTP01(1.0),Transition of educational attainment level from parents to current adults (population aged 25 - 59),A,Annual,PC,Percentage,FED0-2,"From pre-primary, primary and lower secondary education (levels 0-2) of the parents",ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",T,Total,NL,Netherlands,2023,,61.1,,,,,
dataflow,ESTAT:ILC_IGTP01(1.0),Transition of educational attainment level from parents to current adults (population aged 25 - 59),A,Annual,PC,Percentage,FED0-2,"From pre-primary, primary and lower secondary education (levels 0-2) of the parents",ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",T,Total,NO,Norway,2019,,33.8,,,,,
dataflow,ESTAT:ILC_IGTP01(1.0),Transition of educational attainment level from parents to current adults (population aged 25 - 59),A,Annual,PC,Percentage,FED0-2,"From pre-primary, primary and lower secondary education (levels 0-2) of the parents",ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",T,Total,NO,Norway,2023,,30.1,,,,,
dataflow,ESTAT:ILC_IGTP01(1.0),Transition of educational attainment level from parents to current adults (population aged 25 - 59),A,Annual,PC,Percentage,FED0-2,"From pre-primary, primary and lower secondary education (levels 0-2) of the parents",ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",T,Total,PL,Poland,2019,,57.2,,u,low reliability,,
dataflow,ESTAT:ILC_IGTP01(1.0),Transition of educational attainment level from parents to current adults (population aged 25 - 59),A,Annual,PC,Percentage,FED0-2,"From pre-primary, primary and lower secondary education (levels 0-2) of the parents",ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",T,Total,PL,Poland,2023,,56.8,,u,low reliability,,
dataflow,ESTAT:ILC_IGTP01(1.0),Transition of educational attainment level from parents to current adults (population aged 25 - 59),A,Annual,PC,Percentage,FED0-2,"From pre-primary, primary and lower secondary education (levels 0-2) of the parents",ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",T,Total,PT,Portugal,2019,,97.0,,,,,
dataflow,ESTAT:ILC_IGTP01(1.0),Transition of educational attainment level from parents to current adults (population aged 25 - 59),A,Annual,PC,Percentage,FED0-2,"From pre-primary, primary and lower secondary education (levels 0-2) of the parents",ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",T,Total,PT,Portugal,2023,,90.7,,,,,
dataflow,ESTAT:ILC_IGTP01(1.0),Transition of educational attainment level from parents to current adults (population aged 25 - 59),A,Annual,PC,Percentage,FED0-2,"From pre-primary, primary and lower secondary education (levels 0-2) of the parents",ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",T,Total,RO,Romania,2019,,62.2,,,,,
dataflow,ESTAT:ILC_IGTP01(1.0),Transition of educational attainment level from parents to current adults (population aged 25 - 59),A,Annual,PC,Percentage,FED0-2,"From pre-primary, primary and lower secondary education (levels 0-2) of the parents",ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",T,Total,RO,Romania,2023,,66.5,,,,,
dataflow,ESTAT:ILC_IGTP01(1.0),Transition of educational attainment level from parents to current adults (population aged 25 - 59),A,Annual,PC,Percentage,FED0-2,"From pre-primary, primary and lower secondary education (levels 0-2) of the parents",ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",T,Total,RS,Serbia,2019,,81.3,,,,,
dataflow,ESTAT:ILC_IGTP01(1.0),Transition of educational attainment level from parents to current adults (population aged 25 - 59),A,Annual,PC,Percentage,FED0-2,"From pre-primary, primary and lower secondary education (levels 0-2) of the parents",ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",T,Total,RS,Serbia,2023,,75.8,,,,,
dataflow,ESTAT:ILC_IGTP01(1.0),Transition of educational attainment level from parents to current adults (population aged 25 - 59),A,Annual,PC,Percentage,FED0-2,"From pre-primary, primary and lower secondary education (levels 0-2) of the parents",ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",T,Total,SE,Sweden,2019,,49.5,,,,,
dataflow,ESTAT:ILC_IGTP01(1.0),Transition of educational attainment level from parents to current adults (population aged 25 - 59),A,Annual,PC,Percentage,FED0-2,"From pre-primary, primary and lower secondary education (levels 0-2) of the parents",ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",T,Total,SE,Sweden,2023,,41.1,,,,,
dataflow,ESTAT:ILC_IGTP01(1.0),Transition of educational attainment level from parents to current adults (population aged 25 - 59),A,Annual,PC,Percentage,FED0-2,"From pre-primary, primary and lower secondary education (levels 0-2) of the parents",ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",T,Total,SI,Slovenia,2019,,54.0,,,,,
dataflow,ESTAT:ILC_IGTP01(1.0),Transition of educational attainment level from parents to current adults (population aged 25 - 59),A,Annual,PC,Percentage,FED0-2,"From pre-primary, primary and lower secondary education (levels 0-2) of the parents",ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",T,Total,SI,Slovenia,2023,,61.9,,,,,
dataflow,ESTAT:ILC_IGTP01(1.0),Transition of educational attainment level from parents to current adults (population aged 25 - 59),A,Annual,PC,Percentage,FED0-2,"From pre-primary, primary and lower secondary education (levels 0-2) of the parents",ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",T,Total,SK,Slovakia,2019,,89.6,,,,,
dataflow,ESTAT:ILC_IGTP01(1.0),Transition of educational attainment level from parents to current adults (population aged 25 - 59),A,Annual,PC,Percentage,FED0-2,"From pre-primary, primary and lower secondary education (levels 0-2) of the parents",ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",T,Total,SK,Slovakia,2023,,88.7,,,,,
dataflow,ESTAT:ILC_IGTP01(1.0),Transition of educational attainment level from parents to current adults (population aged 25 - 59),A,Annual,PC,Percentage,FED0-2,"From pre-primary, primary and lower secondary education (levels 0-2) of the parents",ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",T,Total,TR,Türkiye,2023,,97.0,,,,,
