STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Fréquence d'observation,REF_AREA,Zone de référence,MEASURE,Mesure,UNIT_MEASURE,Unité de mesure,SECTOR,Secteur institutionnel,EDITION,Édition,SCALE,Échelle,CATEGORY,Catégorie,TIME_PERIOD,Période temporelle,OBS_VALUE,Valeur d'observation,OBS_STATUS,Statut d'observation,UNIT_MULT,Multiplicateur d'unité,PRICE_BASE,Type de prix,BASE_PER,Période de base
DATAFLOW,OECD.GOV.GIP:DSD_GOV_INT@DF_GOV_SPS_2025(1.0),"Satisfaction à l’égard des services publics - Indicateurs du Panorama des administrations publiques, Édition 2025",I,A,Annuelle,DNK,Danemark,PEE_PISA_R,Note moyenne en lecture des élèves à l’enquête PISA,PO,Points,_Z,Non applicable,2025,2025,_Z,Non applicable,SPS,Satisfaction à l’égard des services publics,2022,,489,,A,Normal value,0,Units,_Z,N'est pas applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_INT@DF_GOV_SPS_2025(1.0),"Satisfaction à l’égard des services publics - Indicateurs du Panorama des administrations publiques, Édition 2025",I,A,Annuelle,DNK,Danemark,PEE_PISA_VMSEB,Pourcentage de la variance des performances en mathématiques (PISA) expliquée par le milieu socio-économique,PO,Points,_Z,Non applicable,2025,2025,_Z,Non applicable,SPS,Satisfaction à l’égard des services publics,2022,,12.19,,A,Normal value,0,Units,_Z,N'est pas applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_INT@DF_GOV_SPS_2025(1.0),"Satisfaction à l’égard des services publics - Indicateurs du Panorama des administrations publiques, Édition 2025",I,A,Annuelle,EST,Estonie,PEE_PISA_VMSEB,Pourcentage de la variance des performances en mathématiques (PISA) expliquée par le milieu socio-économique,PO,Points,_Z,Non applicable,2025,2025,_Z,Non applicable,SPS,Satisfaction à l’égard des services publics,2022,,13.45,,A,Normal value,0,Units,_Z,N'est pas applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_INT@DF_GOV_SPS_2025(1.0),"Satisfaction à l’égard des services publics - Indicateurs du Panorama des administrations publiques, Édition 2025",I,A,Annuelle,EST,Estonie,PEE_PISA_R,Note moyenne en lecture des élèves à l’enquête PISA,PO,Points,_Z,Non applicable,2025,2025,_Z,Non applicable,SPS,Satisfaction à l’égard des services publics,2022,,511,,A,Normal value,0,Units,_Z,N'est pas applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_INT@DF_GOV_SPS_2025(1.0),"Satisfaction à l’égard des services publics - Indicateurs du Panorama des administrations publiques, Édition 2025",I,A,Annuelle,EST,Estonie,PEE_PISA_M,Note moyenne en mathématiques des élèves à l’enquête PISA,PO,Points,_Z,Non applicable,2025,2025,_Z,Non applicable,SPS,Satisfaction à l’égard des services publics,2022,,509.95,,A,Normal value,0,Units,_Z,N'est pas applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_INT@DF_GOV_SPS_2025(1.0),"Satisfaction à l’égard des services publics - Indicateurs du Panorama des administrations publiques, Édition 2025",I,A,Annuelle,FIN,Finlande,PEE_PISA_R,Note moyenne en lecture des élèves à l’enquête PISA,PO,Points,_Z,Non applicable,2025,2025,_Z,Non applicable,SPS,Satisfaction à l’égard des services publics,2022,,490,,A,Normal value,0,Units,_Z,N'est pas applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_INT@DF_GOV_SPS_2025(1.0),"Satisfaction à l’égard des services publics - Indicateurs du Panorama des administrations publiques, Édition 2025",I,A,Annuelle,FIN,Finlande,PEE_PISA_VMSEB,Pourcentage de la variance des performances en mathématiques (PISA) expliquée par le milieu socio-économique,PO,Points,_Z,Non applicable,2025,2025,_Z,Non applicable,SPS,Satisfaction à l’égard des services publics,2022,,12.44,,A,Normal value,0,Units,_Z,N'est pas applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_INT@DF_GOV_SPS_2025(1.0),"Satisfaction à l’égard des services publics - Indicateurs du Panorama des administrations publiques, Édition 2025",I,A,Annuelle,FIN,Finlande,PEE_PISA_M,Note moyenne en mathématiques des élèves à l’enquête PISA,PO,Points,_Z,Non applicable,2025,2025,_Z,Non applicable,SPS,Satisfaction à l’égard des services publics,2022,,484.14,,A,Normal value,0,Units,_Z,N'est pas applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_INT@DF_GOV_SPS_2025(1.0),"Satisfaction à l’égard des services publics - Indicateurs du Panorama des administrations publiques, Édition 2025",I,A,Annuelle,FRA,France,PEE_PISA_R,Note moyenne en lecture des élèves à l’enquête PISA,PO,Points,_Z,Non applicable,2025,2025,_Z,Non applicable,SPS,Satisfaction à l’égard des services publics,2022,,474,,A,Normal value,0,Units,_Z,N'est pas applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_INT@DF_GOV_SPS_2025(1.0),"Satisfaction à l’égard des services publics - Indicateurs du Panorama des administrations publiques, Édition 2025",I,A,Annuelle,FRA,France,PEE_PISA_M,Note moyenne en mathématiques des élèves à l’enquête PISA,PO,Points,_Z,Non applicable,2025,2025,_Z,Non applicable,SPS,Satisfaction à l’égard des services publics,2022,,473.94,,A,Normal value,0,Units,_Z,N'est pas applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_INT@DF_GOV_SPS_2025(1.0),"Satisfaction à l’égard des services publics - Indicateurs du Panorama des administrations publiques, Édition 2025",I,A,Annuelle,FRA,France,PEE_PISA_VMSEB,Pourcentage de la variance des performances en mathématiques (PISA) expliquée par le milieu socio-économique,PO,Points,_Z,Non applicable,2025,2025,_Z,Non applicable,SPS,Satisfaction à l’égard des services publics,2022,,21.48,,A,Normal value,0,Units,_Z,N'est pas applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_INT@DF_GOV_SPS_2025(1.0),"Satisfaction à l’égard des services publics - Indicateurs du Panorama des administrations publiques, Édition 2025",I,A,Annuelle,DEU,Allemagne,PEE_PISA_M,Note moyenne en mathématiques des élèves à l’enquête PISA,PO,Points,_Z,Non applicable,2025,2025,_Z,Non applicable,SPS,Satisfaction à l’égard des services publics,2022,,474.83,,A,Normal value,0,Units,_Z,N'est pas applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_INT@DF_GOV_SPS_2025(1.0),"Satisfaction à l’égard des services publics - Indicateurs du Panorama des administrations publiques, Édition 2025",I,A,Annuelle,DEU,Allemagne,PEE_PISA_VMSEB,Pourcentage de la variance des performances en mathématiques (PISA) expliquée par le milieu socio-économique,PO,Points,_Z,Non applicable,2025,2025,_Z,Non applicable,SPS,Satisfaction à l’égard des services publics,2022,,18.7,,A,Normal value,0,Units,_Z,N'est pas applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_INT@DF_GOV_SPS_2025(1.0),"Satisfaction à l’égard des services publics - Indicateurs du Panorama des administrations publiques, Édition 2025",I,A,Annuelle,DEU,Allemagne,PEE_PISA_R,Note moyenne en lecture des élèves à l’enquête PISA,PO,Points,_Z,Non applicable,2025,2025,_Z,Non applicable,SPS,Satisfaction à l’égard des services publics,2022,,480,,A,Normal value,0,Units,_Z,N'est pas applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_INT@DF_GOV_SPS_2025(1.0),"Satisfaction à l’égard des services publics - Indicateurs du Panorama des administrations publiques, Édition 2025",I,A,Annuelle,GRC,Grèce,PEE_PISA_M,Note moyenne en mathématiques des élèves à l’enquête PISA,PO,Points,_Z,Non applicable,2025,2025,_Z,Non applicable,SPS,Satisfaction à l’égard des services publics,2022,,430.15,,A,Normal value,0,Units,_Z,N'est pas applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_INT@DF_GOV_SPS_2025(1.0),"Satisfaction à l’égard des services publics - Indicateurs du Panorama des administrations publiques, Édition 2025",I,A,Annuelle,GRC,Grèce,PEE_PISA_VMSEB,Pourcentage de la variance des performances en mathématiques (PISA) expliquée par le milieu socio-économique,PO,Points,_Z,Non applicable,2025,2025,_Z,Non applicable,SPS,Satisfaction à l’égard des services publics,2022,,11.81,,A,Normal value,0,Units,_Z,N'est pas applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_INT@DF_GOV_SPS_2025(1.0),"Satisfaction à l’égard des services publics - Indicateurs du Panorama des administrations publiques, Édition 2025",I,A,Annuelle,HUN,Hongrie,PEE_PISA_M,Note moyenne en mathématiques des élèves à l’enquête PISA,PO,Points,_Z,Non applicable,2025,2025,_Z,Non applicable,SPS,Satisfaction à l’égard des services publics,2022,,472.78,,A,Normal value,0,Units,_Z,N'est pas applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_INT@DF_GOV_SPS_2025(1.0),"Satisfaction à l’égard des services publics - Indicateurs du Panorama des administrations publiques, Édition 2025",I,A,Annuelle,HUN,Hongrie,PEE_PISA_VMSEB,Pourcentage de la variance des performances en mathématiques (PISA) expliquée par le milieu socio-économique,PO,Points,_Z,Non applicable,2025,2025,_Z,Non applicable,SPS,Satisfaction à l’égard des services publics,2022,,25.12,,A,Normal value,0,Units,_Z,N'est pas applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_INT@DF_GOV_SPS_2025(1.0),"Satisfaction à l’égard des services publics - Indicateurs du Panorama des administrations publiques, Édition 2025",I,A,Annuelle,HUN,Hongrie,PEE_PISA_R,Note moyenne en lecture des élèves à l’enquête PISA,PO,Points,_Z,Non applicable,2025,2025,_Z,Non applicable,SPS,Satisfaction à l’égard des services publics,2022,,473,,A,Normal value,0,Units,_Z,N'est pas applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_INT@DF_GOV_SPS_2025(1.0),"Satisfaction à l’égard des services publics - Indicateurs du Panorama des administrations publiques, Édition 2025",I,A,Annuelle,ISL,Islande,PEE_PISA_R,Note moyenne en lecture des élèves à l’enquête PISA,PO,Points,_Z,Non applicable,2025,2025,_Z,Non applicable,SPS,Satisfaction à l’égard des services publics,2022,,436,,A,Normal value,0,Units,_Z,N'est pas applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_INT@DF_GOV_SPS_2025(1.0),"Satisfaction à l’égard des services publics - Indicateurs du Panorama des administrations publiques, Édition 2025",I,A,Annuelle,ISL,Islande,PEE_PISA_M,Note moyenne en mathématiques des élèves à l’enquête PISA,PO,Points,_Z,Non applicable,2025,2025,_Z,Non applicable,SPS,Satisfaction à l’égard des services publics,2022,,458.9,,A,Normal value,0,Units,_Z,N'est pas applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_INT@DF_GOV_SPS_2025(1.0),"Satisfaction à l’égard des services publics - Indicateurs du Panorama des administrations publiques, Édition 2025",I,A,Annuelle,ISL,Islande,PEE_PISA_VMSEB,Pourcentage de la variance des performances en mathématiques (PISA) expliquée par le milieu socio-économique,PO,Points,_Z,Non applicable,2025,2025,_Z,Non applicable,SPS,Satisfaction à l’égard des services publics,2022,,9.26,,A,Normal value,0,Units,_Z,N'est pas applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_INT@DF_GOV_SPS_2025(1.0),"Satisfaction à l’égard des services publics - Indicateurs du Panorama des administrations publiques, Édition 2025",I,A,Annuelle,IRL,Irlande,PEE_PISA_VMSEB,Pourcentage de la variance des performances en mathématiques (PISA) expliquée par le milieu socio-économique,PO,Points,_Z,Non applicable,2025,2025,_Z,Non applicable,SPS,Satisfaction à l’égard des services publics,2022,,12.96,,A,Normal value,0,Units,_Z,N'est pas applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_INT@DF_GOV_SPS_2025(1.0),"Satisfaction à l’égard des services publics - Indicateurs du Panorama des administrations publiques, Édition 2025",I,A,Annuelle,IRL,Irlande,PEE_PISA_M,Note moyenne en mathématiques des élèves à l’enquête PISA,PO,Points,_Z,Non applicable,2025,2025,_Z,Non applicable,SPS,Satisfaction à l’égard des services publics,2022,,491.65,,A,Normal value,0,Units,_Z,N'est pas applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_INT@DF_GOV_SPS_2025(1.0),"Satisfaction à l’égard des services publics - Indicateurs du Panorama des administrations publiques, Édition 2025",I,A,Annuelle,IRL,Irlande,PEE_PISA_R,Note moyenne en lecture des élèves à l’enquête PISA,PO,Points,_Z,Non applicable,2025,2025,_Z,Non applicable,SPS,Satisfaction à l’égard des services publics,2022,,516,,A,Normal value,0,Units,_Z,N'est pas applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_INT@DF_GOV_SPS_2025(1.0),"Satisfaction à l’égard des services publics - Indicateurs du Panorama des administrations publiques, Édition 2025",I,A,Annuelle,ISR,Israël,PEE_PISA_VMSEB,Pourcentage de la variance des performances en mathématiques (PISA) expliquée par le milieu socio-économique,PO,Points,_Z,Non applicable,2025,2025,_Z,Non applicable,SPS,Satisfaction à l’égard des services publics,2022,,19.62,,A,Normal value,0,Units,_Z,N'est pas applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_INT@DF_GOV_SPS_2025(1.0),"Satisfaction à l’égard des services publics - Indicateurs du Panorama des administrations publiques, Édition 2025",I,A,Annuelle,ISR,Israël,PEE_PISA_R,Note moyenne en lecture des élèves à l’enquête PISA,PO,Points,_Z,Non applicable,2025,2025,_Z,Non applicable,SPS,Satisfaction à l’égard des services publics,2022,,474,,A,Normal value,0,Units,_Z,N'est pas applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_INT@DF_GOV_SPS_2025(1.0),"Satisfaction à l’égard des services publics - Indicateurs du Panorama des administrations publiques, Édition 2025",I,A,Annuelle,ISR,Israël,PEE_PISA_M,Note moyenne en mathématiques des élèves à l’enquête PISA,PO,Points,_Z,Non applicable,2025,2025,_Z,Non applicable,SPS,Satisfaction à l’égard des services publics,2022,,457.9,,A,Normal value,0,Units,_Z,N'est pas applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_INT@DF_GOV_SPS_2025(1.0),"Satisfaction à l’égard des services publics - Indicateurs du Panorama des administrations publiques, Édition 2025",I,A,Annuelle,ITA,Italie,PEE_PISA_R,Note moyenne en lecture des élèves à l’enquête PISA,PO,Points,_Z,Non applicable,2025,2025,_Z,Non applicable,SPS,Satisfaction à l’égard des services publics,2022,,482,,A,Normal value,0,Units,_Z,N'est pas applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_INT@DF_GOV_SPS_2025(1.0),"Satisfaction à l’égard des services publics - Indicateurs du Panorama des administrations publiques, Édition 2025",I,A,Annuelle,ITA,Italie,PEE_PISA_VMSEB,Pourcentage de la variance des performances en mathématiques (PISA) expliquée par le milieu socio-économique,PO,Points,_Z,Non applicable,2025,2025,_Z,Non applicable,SPS,Satisfaction à l’égard des services publics,2022,,13.48,,A,Normal value,0,Units,_Z,N'est pas applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_INT@DF_GOV_SPS_2025(1.0),"Satisfaction à l’égard des services publics - Indicateurs du Panorama des administrations publiques, Édition 2025",I,A,Annuelle,ITA,Italie,PEE_PISA_M,Note moyenne en mathématiques des élèves à l’enquête PISA,PO,Points,_Z,Non applicable,2025,2025,_Z,Non applicable,SPS,Satisfaction à l’égard des services publics,2022,,471.26,,A,Normal value,0,Units,_Z,N'est pas applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_INT@DF_GOV_SPS_2025(1.0),"Satisfaction à l’égard des services publics - Indicateurs du Panorama des administrations publiques, Édition 2025",I,A,Annuelle,JPN,Japon,PEE_PISA_M,Note moyenne en mathématiques des élèves à l’enquête PISA,PO,Points,_Z,Non applicable,2025,2025,_Z,Non applicable,SPS,Satisfaction à l’égard des services publics,2022,,535.58,,A,Normal value,0,Units,_Z,N'est pas applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_INT@DF_GOV_SPS_2025(1.0),"Satisfaction à l’égard des services publics - Indicateurs du Panorama des administrations publiques, Édition 2025",I,A,Annuelle,JPN,Japon,PEE_PISA_VMSEB,Pourcentage de la variance des performances en mathématiques (PISA) expliquée par le milieu socio-économique,PO,Points,_Z,Non applicable,2025,2025,_Z,Non applicable,SPS,Satisfaction à l’égard des services publics,2022,,11.86,,A,Normal value,0,Units,_Z,N'est pas applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_INT@DF_GOV_SPS_2025(1.0),"Satisfaction à l’égard des services publics - Indicateurs du Panorama des administrations publiques, Édition 2025",I,A,Annuelle,JPN,Japon,PEE_PISA_R,Note moyenne en lecture des élèves à l’enquête PISA,PO,Points,_Z,Non applicable,2025,2025,_Z,Non applicable,SPS,Satisfaction à l’égard des services publics,2022,,516,,A,Normal value,0,Units,_Z,N'est pas applicable,,
